,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
1861,2332,Fishing frenzy,"Casual, Indie"," Single-player, Family Sharing",2021-10-01,7.99,"0 - 20,000",26,fishingfrenzydev,fishingfrenzydev
1862,2333,Super kakuro - cross sums,"Fr, Casual"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-10-28,1.04,"0 - 20,000",30,Dr. Cyril Splutterworth,Dr. Cyril Splutterworth
1863,2334,Valentine's day griddlers,"Fr, Casual"," Single-player, Family Sharing",2021-11-10,4.99,"0 - 20,000",18,Creobit,8floor
1864,2335,Crazy world,"Fr, RPG"," Single-player, Full controller support, Family Sharing",2021-12-21,9.99,"0 - 20,000",58,Daniacea Games,Daniacea Games
1865,2336,Travellers,"Adventure, Early Access"," Single-player, Family Sharing",2021-08-30,14.99,"0 - 20,000",686,Braniacs2100,Braniacs2100
1866,2337,Deus lo veult,"Simulation, Strategy"," Single-player, Family Sharing",2021-08-10,9.99,"0 - 20,000",255,PageBoyGame,PageBoyGame
1867,2338,Cutthroat cove,"RPG, Simulation"," Single-player, Multi-player, Co-op, Online Co-op, Remote Play Together, Family Sharing",2021-03-30,10.99,"0 - 20,000",178,Wicked Games,Wicked Games
1868,2339,Cybernetica: final,"Fr, Strategy"," Single-player, Family Sharing",2021-03-02,0.99,"0 - 20,000",30,Kedexa,Kedexa
1869,2340,Any fish,"Casual, Indie"," Single-player, Family Sharing",2021-08-25,7.99,"0 - 20,000",15,freeanygame,freeanygame
1870,2341,Awesome puzzle,"Casual, Indie"," Single-player, Family Sharing",2021-08-17,7.99,"0 - 20,000",14,Awesome Deveelop,Awesome Deveelop
1871,2343,Neon dimension,"Casual, Indie"," Single-player, Family Sharing",2021-03-30,1.46,"0 - 20,000",22,PHX games,PHX games
1872,2344,Doomsday defense,"Action, Casual"," Single-player, Family Sharing",2021-10-02,19.99,"0 - 20,000",12,Limitcore.studio,Limitcore.studio
1873,2345,Angels vs demons,"Indie, Strategy"," Single-player, Family Sharing",2021-10-03,1.09,"0 - 20,000",24,wow wow Games, wow wow Games
1874,2346,Suber driver,"Indie, Simulation"," Single-player, Family Sharing",2021-11-19,2.99,"0 - 20,000",25,Özgün BURSALIOĞLU,Özgün BURSALIOĞLU
